date,selected_etf_count,selected_total_trading_value,kospi_trading_value,ratio
20101130,27,141636037430.0,6207086027041.0,0.022818442794729523
20101201,27,100993514315.0,5030412136750.0,0.020076588472182105
20101202,27,113786574887.0,5924099335391.0,0.019207404947994496
20101203,27,130465609904.0,6911005883042.0,0.018877948031289084
20101206,27,76423567500.0,5519110674115.0,0.013847080084556316
20101207,27,81246463345.0,6303216074518.0,0.012889683993771835
20101208,27,124022230030.0,5509380800350.0,0.022511101433054168
20101209,27,109120197200.0,7015508030632.0,0.015554140444789682
20101210,27,90961483420.0,5592144059825.0,0.016265940656551424
20101213,27,82162211115.0,5176667191943.0,0.015871642519897325
20101214,28,65298086650.0,6484482093007.0,0.0100699000650212
20101215,28,115674828315.0,6691417529412.0,0.01728704385977313
20101216,28,78034769010.0,5473248393361.0,0.01425748721813091
20101217,28,74633128005.0,6909514892842.0,0.010801500418259051
20101220,28,195872459030.0,7207170855386.0,0.027177440768401142
20101221,28,92069963300.0,7396369383599.0,0.012447994215129324
20101222,28,86503131550.0,6204325635568.0,0.01394239062084315
20101223,28,69338183565.0,5238856902962.0,0.013235365051829694
20101224,28,68184486250.0,5437040903341.0,0.0125407344660772
20101227,28,99097728369.0,5396242073130.0,0.018364211061332174
20101228,28,86709374435.0,6051666129019.0,0.014328182121483946
20101229,28,101485871680.0,5054604618700.0,0.02007790506591617
20101230,28,107783230915.0,5396896958899.0,0.01997133384903247
20110103,28,72487086465.0,5941470649203.0,0.01220019263660312
20110104,28,108131911673.0,7799740341295.0,0.013863527110063606
20110105,28,102172075160.0,8609366845145.0,0.011867548101707032
20110106,28,107206202605.0,8804441828186.0,0.012176376958025509
20110107,28,87878260765.0,7675864506306.0,0.011448646688956643
20110110,28,105265279980.0,7324759075642.0,0.01437115936414246
20110111,28,117389786155.0,7021419291059.0,0.01671881158051377
20110112,28,79308684665.0,8017806336737.0,0.009891569007050398
20110113,28,264736119680.0,9204261674098.0,0.028762341734047195
20110114,28,181824833450.0,8901923387554.0,0.020425342427032547
20110117,28,132003702855.0,8159168682627.0,0.016178572596013407
20110118,28,123670585395.0,8055006610186.0,0.015353256847562573
20110119,28,132772048020.0,8741413030069.0,0.01518885420049211
20110120,28,133921961790.0,6610410338656.0,0.020259250928321107
20110121,28,194065914565.0,7528692558799.0,0.025776841470062366
20110124,28,138415903395.0,6098845003456.0,0.022695428940490304
20110125,28,121517158495.0,7467408570893.0,0.01627300252040022
20110126,28,128759388303.0,6249681808724.0,0.020602551016799503
20110127,28,96913705098.0,7461007568036.0,0.012989358905517247
20110128,28,114028817805.0,8003551664179.0,0.014247277032689338
20110131,28,136726346785.0,7409381884860.0,0.018453138049798798
20110201,28,66280017360.0,6225210246838.0,0.010647032747796095
20110207,28,136224327840.0,6636789612285.0,0.020525636007482077
20110208,28,156370104952.0,7344362189603.0,0.02129117558681465
20110209,28,147224905765.0,6834292735959.0,0.02154208364391069
20110210,28,222756172010.0,7207060948143.0,0.030908046097125937
20110211,28,240168999385.0,7451990673430.0,0.03222883789177571
20110214,28,176683573955.0,5784284896769.0,0.030545448073225498
20110215,29,134229829195.0,5868813703427.0,0.02287171411091455
20110216,29,138708275385.0,5750878708468.0,0.024119492414395063
20110217,29,209765145215.0,6907020646770.0,0.03036984482058767
20110218,29,196050418665.0,5918960335145.0,0.03312244170668146
20110221,29,129333187920.0,5968226739222.0,0.021670287268083833
20110222,29,234447959920.0,6230605947112.0,0.03762843644905371
20110223,29,147686415840.0,5744760025029.0,0.025708021779248205
20110224,29,158149719450.0,5442691028384.0,0.029057265721173325
20110225,29,143440420570.0,5029012287331.0,0.028522583039089524
20110228,29,178582424175.0,4698460194292.0,0.03800871281019976
20110302,29,151115274725.0,4680862924634.0,0.03228363597868353
20110303,29,140500462104.0,5205677589562.0,0.026989850924636606
20110304,29,208377488967.0,6175498675528.0,0.033742617384527884
20110307,29,147003925280.0,4802369447943.0,0.03061070725055654
